species,configuration,n_levels,log10,d,L1,H2,keff,omega,maxexp
Cr I,3d4.(3P1).4s.4p.(3P*),14,9.36999,10,0.37298,0.33938,1.55676,3,7
Cr I,3d5.(6S).5p,6,4.5195,5,0.37398,0.33584,1.68367,3,3
Cr I,3d5.(6S).4d,9,6.99226,7,0.40941,0.2882,1.88384,4,6
Cr I,3d5.(4G).4p,24,22.24986,23,0.30021,0.21931,2.33479,5,14
Cr I,3d5.(4P).4p,14,9.36999,10,0.37298,0.33938,1.55676,3,7
Cr I,3d4.(3F1).4s.4p.(3P*),22,18.05189,19,0.29074,0.23467,2.19279,5,11
Cr I,3d5.(6S).6s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Cr I,3d4.4s.5s,24,19.14083,20,0.34898,0.2552,2.01354,5,14
Cr I,3d4.(3G).4s.4p.(3P*),19,17.25379,18,0.33184,0.22422,2.29473,5,12
Cr I,3d4.(5D).4s.5p.(3P*),5,4.01682,5,0.35634,0.26874,2.10407,4,3
Cr I,3d5.(6S).6p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
Cr I,3d5.(6S).5d,5,4.01682,5,0.35634,0.26874,2.10407,4,3
Cr I,3d5.(6S).7s,2,1.54407,2,0.54732,0.50448,1.38885,2,1
Cr I,3d5.(4D).4p,19,14.01007,15,0.37461,0.29905,1.73444,4,11
Cr I,3d5.(6S).7p,2,1.79934,2,0.53033,0.50184,1.39615,2,2
Cr I,3d5.(6S).8p,3,2.49831,3,0.38196,0.33859,1.84238,3,2
