cod_id,n_symops,n_sites,mult_product_log10,d,L1,Tail,H2,keff,omega,maxexp,frac_exp_carrier
4512977,36,35,30.94996,31,0.60122,0.0,0.52049,0.97779,2,41,1.0
4500861,4,71,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2017074,8,9,6.62266,7,1.0,0.0,1.0,0.54293,1,22,1.0
2229003,4,60,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7120552,16,92,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
9013306,16,10,9.33193,10,1.0,0.0,1.0,0.52833,1,31,1.0
7032162,4,65,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4309653,2,79,23.17931,24,1.0,0.0,1.0,0.51154,1,77,1.0
7214004,12,5,4.01569,5,0.52474,0.0,0.50122,1.12812,2,7,1.0
4511897,4,38,22.87828,23,1.0,0.0,1.0,0.51204,1,76,1.0
4073818,4,59,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2232501,4,32,19.26592,20,1.0,0.0,1.0,0.51385,1,64,1.0
7219784,2,85,24.98549,25,1.0,0.0,1.0,0.51108,1,83,1.0
7248599,2,70,21.0721,22,1.0,0.0,1.0,0.51259,1,70,1.0
4130390,4,66,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2218696,4,31,18.66386,19,1.0,0.0,1.0,0.51457,1,62,1.0
7159420,4,52,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7249346,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7158928,2,40,12.0412,13,1.0,0.0,1.0,0.5212,1,40,1.0
4061953,2,72,21.67416,22,1.0,0.0,1.0,0.51259,1,72,1.0
4074005,4,56,21.67416,22,1.0,0.0,1.0,0.51259,1,72,1.0
1556628,4,43,25.88858,26,1.0,0.0,1.0,0.51065,1,86,1.0
4030514,4,56,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2312297,16,12,14.14841,15,1.0,0.0,1.0,0.51868,1,47,1.0
4061214,8,65,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
2207034,2,88,26.49064,27,1.0,0.0,1.0,0.51026,1,88,1.0
1563923,8,56,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
1519452,4,58,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4000411,8,48,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
4303355,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4109721,16,117,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7110027,8,105,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7718576,2,74,22.27622,23,1.0,0.0,1.0,0.51204,1,74,1.0
4101868,2,97,29.19991,30,1.0,0.0,1.0,0.50923,1,97,1.0
4301857,4,108,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2106447,12,12,7.80415,8,0.69432,0.0,0.57552,0.931,2,18,1.0
4503452,2,54,15.95459,16,1.0,0.0,1.0,0.51713,1,53,1.0
1546287,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2238239,4,18,8.72987,9,1.0,0.0,1.0,0.53318,1,29,1.0
4514843,4,110,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
9014362,2,83,23.78137,24,1.0,0.0,1.0,0.51154,1,79,1.0
7119626,4,71,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
9004303,8,33,19.56695,20,1.0,0.0,1.0,0.51385,1,65,1.0
2202863,2,52,15.65356,16,1.0,0.0,1.0,0.51713,1,52,1.0
7048239,4,60,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1506371,2,60,17.76077,18,1.0,0.0,1.0,0.51452,1,59,1.0
7037177,8,46,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
1548557,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7245690,4,62,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
4349824,4,90,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4022945,4,44,26.49064,27,1.0,0.0,1.0,0.51026,1,88,1.0
7231064,4,60,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1567636,2,39,11.74017,12,1.0,0.0,1.0,0.52396,1,39,1.0
1570217,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1505914,8,72,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
4027180,4,65,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4301858,4,108,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7120999,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1564380,4,67,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7714580,2,52,15.65356,16,1.0,0.0,1.0,0.51713,1,52,1.0
7237158,2,23,6.92369,7,1.0,0.0,1.0,0.54293,1,23,1.0
7241417,4,32,19.26592,20,1.0,0.0,1.0,0.51385,1,64,1.0
7211155,2,31,9.0309,10,1.0,0.0,1.0,0.52833,1,30,1.0
7710250,2,65,19.56695,20,1.0,0.0,1.0,0.51385,1,65,1.0
4508340,4,28,16.85768,17,1.0,0.0,1.0,0.51613,1,56,1.0
4507342,4,95,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1514403,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
9012210,4,21,12.0412,13,1.0,0.0,1.0,0.5212,1,40,1.0
4104217,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4033690,2,66,19.86798,20,1.0,0.0,1.0,0.51385,1,66,1.0
7705913,8,89,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
7131800,4,41,24.68446,25,1.0,0.0,1.0,0.51108,1,82,1.0
7052485,2,49,14.75047,15,1.0,0.0,1.0,0.51868,1,49,1.0
4081669,2,73,21.97519,22,1.0,0.0,1.0,0.51259,1,73,1.0
